,cycle,time_start,time_end,u,v,w,B_u,dB_u,B_v,dB_v,B_w,dB_w,x,y,z,B_x,B_y,B_z
62,62,1565405985,1565405989,-7.95,122.37,7.25,0.211252,0.00283275,2.12196,0.000181659,0.333706,0.001132135,18.2,-7.25,121.12,-0.211252,-0.333706,2.12196
77,77,1565406252,1565406256,-27.95,122.37,7.25,0.194014,0.000990697,2.07552,0.000109545,0.35232,0.000465349,38.2,-7.25,121.12,-0.194014,-0.35232,2.07552
132,132,1565407349,1565407353,-67.95,122.37,7.25,0.167015,8.94E-05,1.9932,0,0.354686,0.000127004,78.2,-7.25,121.12,-0.167015,-0.354686,1.9932
12,12,1565404827,1565404831,12.05,122.37,47.25,0.233832,0.000538024,2.19658,0.000216795,0.358906,0.001825125,-1.8,-47.25,121.12,-0.233832,-0.358906,2.19658
57,57,1565405896,1565405900,-7.95,122.37,47.25,0.203752,0.00124554,2.15788,8.37E-05,0.344442,0.000486693,18.2,-47.25,121.12,-0.203752,-0.344442,2.15788
82,82,1565406345,1565406349,-27.95,122.37,47.25,0.181374,0.000339161,2.1176,7.07E-05,0.355736,0.000323002,38.2,-47.25,121.12,-0.181374,-0.355736,2.1176
127,127,1565407276,1565407280,-67.95,122.37,47.25,0.1448104,0.000775356,2.04182,8.37E-05,0.355554,0.000373537,78.2,-47.25,121.12,-0.1448104,-0.355554,2.04182
17,17,1565404930,1565404934,12.05,122.37,87.25,0.223392,0.001078411,2.23338,0.000238747,0.371954,0.0014217,-1.8,-87.25,121.12,-0.223392,-0.371954,2.23338
52,52,1565405817,1565405821,-7.95,122.37,87.25,0.200934,0.000395639,2.1976,7.07E-05,0.361876,0.000762811,18.2,-87.25,121.12,-0.200934,-0.361876,2.1976
87,87,1565406437,1565406441,-27.95,122.37,87.25,0.179178,0.001013782,2.1612,0.000122474,0.358782,0.000780686,38.2,-87.25,121.12,-0.179178,-0.358782,2.1612
122,122,1565407212,1565407216,-67.95,122.37,87.25,0.1344252,0.000566668,2.0984,0.000234521,0.33976,0.001449793,78.2,-87.25,121.12,-0.1344252,-0.33976,2.0984
22,22,1565405016,1565405020,12.05,122.37,127.25,0.239144,0.000360874,2.27634,8.94E-05,0.385796,0.000711393,-1.8,-127.25,121.12,-0.239144,-0.385796,2.27634
47,47,1565405719,1565405723,-7.95,122.37,127.25,0.212094,0.000842217,2.24436,0.000151658,0.36873,0.001152671,18.2,-127.25,121.12,-0.212094,-0.36873,2.24436
92,92,1565406528,1565406532,-27.95,122.37,127.25,0.181116,0.001126645,2.21266,8.94E-05,0.366254,0.000135757,38.2,-127.25,121.12,-0.181116,-0.366254,2.21266
117,117,1565407145,1565407149,-67.95,122.37,127.25,0.1466014,0.001477675,2.15444,0.000151658,0.36514,0.000897552,78.2,-127.25,121.12,-0.1466014,-0.36514,2.15444
27,27,1565405149,1565405153,12.05,122.37,167.25,0.257424,0.000949542,2.32702,0.000109545,0.401432,0.001764673,-1.8,-167.25,121.12,-0.257424,-0.401432,2.32702
42,42,1565405589,1565405593,-7.95,122.37,167.25,0.217002,0.000153199,2.30076,5.48E-05,0.379684,0.000605004,18.2,-167.25,121.12,-0.217002,-0.379684,2.30076
97,97,1565406642,1565406646,-27.95,122.37,167.25,0.204448,0.003585062,2.27262,0.000349285,0.363076,0.003076114,38.2,-167.25,121.12,-0.204448,-0.363076,2.27262
112,112,1565407058,1565407062,-67.95,122.37,167.25,0.1505292,0.000578994,2.22586,5.48E-05,0.329774,0.000250559,78.2,-167.25,121.12,-0.1505292,-0.329774,2.22586
142,142,1565407662,1565407666,-67.95,122.37,207.25,0.1763366,0.003449557,2.29948,0.000238747,0.313918,0.00177249,78.2,-207.25,121.12,-0.1763366,-0.313918,2.29948
187,187,1565408868,1565408872,-27.95,122.37,207.25,0.23264,0.000714213,2.34302,0.000164317,0.356308,0.001778249,38.2,-207.25,121.12,-0.23264,-0.356308,2.34302
192,192,1565408998,1565409002,-7.95,122.37,207.25,0.233646,0.002127729,2.3643,0.0004,0.402218,0.002677885,18.2,-207.25,121.12,-0.233646,-0.402218,2.3643
197,197,1565409139,1565409143,12.05,122.37,207.25,0.26686,0.002532114,2.38996,0.000907193,0.420224,0.004152545,-1.8,-207.25,121.12,-0.26686,-0.420224,2.38996
147,147,1565407744,1565407748,-67.95,122.37,247.25,0.20262,0.000405401,2.38474,5.48E-05,0.255176,0.000327918,78.2,-247.25,121.12,-0.20262,-0.255176,2.38474
172,172,1565408494,1565408498,12.05,122.37,247.25,0.313334,0.000529792,2.4756,7.07E-05,0.402352,0.000707934,-1.8,-247.25,121.12,-0.313334,-0.402352,2.4756
